venue,city,country
Adelaide Oval,Adelaide,Australia
Affies Park,Windhoek,Namibia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat,Oman
Allan Border Field,Brisbane,Australia
AMI Stadium,Christchurch,New Zealand
Amini Park,Port Moresby,Papua New Guinea
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India
Antigua Recreation Ground,St John's,Antigua and Barbuda
Arbab Niaz Stadium,Peshawar,Pakistan
Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines
Arun Jaitley Stadium,Delhi,India
Bangabandhu National Stadium,Dhaka,Bangladesh
Barabati Stadium,Cuttack,India
Barsapara Cricket Stadium,Guwahati,India
Basin Reserve,Wellington,New Zealand
Bay Oval,Mount Maunganui,New Zealand
Beausejour Stadium,Gros Islet,Saint Lucia
Bellerive Oval,Hobart,Australia
Bert Sutcliffe Oval,Lincoln,New Zealand
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
Boland Bank Park,Paarl,South Africa
Boland Park,Paarl,South Africa
Brabourne Stadium,Mumbai,India
Bradman Oval,Bowral,Australia
Bready Cricket Club,Magheramason,Northern Ireland
Brian Lara Stadium,Tarouba,Trinidad and Tobago
Brisbane Cricket Ground,Brisbane,Australia
Buffalo Park,East London,South Africa
Bulawayo Athletic Club,Bulawayo,Zimbabwe
Bundaberg Rum Stadium,Bundaberg,Australia
Cambusdoon New Ground,Ayr,Scotland
Captain Roop Singh Stadium,Gwalior,India
Carisbrook,Dunedin,New Zealand
Castle Avenue,Dublin,Ireland
Cazaly's Stadium,Cairns,Australia
Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
Chevrolet Park,Bloemfontein,South Africa
Chilaw Marians Cricket Club Ground,Colombo,Sri Lanka
Chittagong Divisional Stadium,Chattogram,Bangladesh
Choice Moosa Stadium,Pearland,USA
City Oval,Pietermaritzburg,South Africa
Civil Service Cricket Club,"Stormont, Belfast",Northern Ireland
Clontarf Cricket Club Ground,Dublin,Ireland
Cobham Oval (New),Whangarei,New Zealand
Colombo Cricket Club Ground,Colombo,Sri Lanka
Coolidge Cricket Ground,Coolidge,Antigua and Barbuda
County Ground,Chelmsford,England
Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
Darren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
Davies Park,Townsville,Australia
De Beers Diamond Oval,Kimberley,South Africa
Desert Springs Cricket Ground,Almería,Spain
Diamond Oval,Kimberley,South Africa
Docklands Stadium,Melbourne,Australia
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
Dubai International Cricket Stadium,Dubai,UAE
Dubai Sports City Cricket Stadium,Dubai,UAE
Eden Gardens,Kolkata,India
Eden Park,Auckland,New Zealand
Eden Park No 2,Auckland,New Zealand
Eden Park Outer Oval,Auckland,New Zealand
Edgbaston,Birmingham,England
Feroz Shah Kotla,Delhi,India
Forthill,Dundee,Scotland
FTZ Sports Complex (BOI),Katunayake,Sri Lanka
Gaddafi Stadium,Lahore,Pakistan
Galle International Stadium,Galle,Sri Lanka
Goodyear Park,Bloemfontein,South Africa
Grace Road,Leicester,England
Grand Prairie Stadium,Grand Prairie,USA
Grange Cricket Club,Edinburgh,Scotland
Grange Cricket Club Ground,Edinburgh,Scotland
Green Park,Kanpur,India
Greenfield International Stadium,Thiruvananthapuram,India
Gymkhana Club Ground,Secunderabad,India
Hagley Oval,Christchurch,New Zealand
Harare Sports Club,Harare,Zimbabwe
Harlequins,Nairobi,Kenya
Haslegrave Ground,Loughborough,England
Hazelaarweg,Rotterdam,Netherlands
Headingley,Leeds,England
Himachal Pradesh Cricket Association Stadium,Dharamshala,India
Holkar Cricket Stadium,Indore,India
Hurstville Oval,Sydney,Australia
ICC Academy,Dubai,UAE
ICC Global Cricket Academy,Dubai,UAE
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India
International Sports Stadium,Coffs Harbour,Australia
Iqbal Stadium,Faisalabad,Pakistan
Jade Stadium,Christchurch,New Zealand
Jaffery Sports Club Ground,Nairobi,Kenya
John Davies Oval,Queenstown,New Zealand
JSCA International Stadium Complex,Ranchi,India
Junction Oval,Melbourne,Australia
Karen Rolton Oval,Adelaide,Australia
Keenan Stadium,Jamshedpur,India
Kennington Oval,London,England
Kensington Oval,Bridgetown,Barbados
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
Khettarama Stadium,Colombo,Sri Lanka
Kingsmead,Durban,South Africa
Kinrara Academy Oval,Puchong,Malaysia
Kotambi Stadium,Vadodara,India
Lal Bahadur Shastri Stadium,Hyderabad,India
Lord's,London,England
Louth Cricket Club,Louth,Ireland
M Chinnaswamy Stadium,Bengaluru,India
M.Chinnaswamy Stadium,Bengaluru,India
MA Aziz Stadium,Chattogram,Bangladesh
MA Chidambaram Stadium,Chennai,India
Madhavrao Scindia Cricket Ground,Rajkot,India
Maharani Usharaje Trust Cricket Ground,Indore,India
Maharashtra Cricket Association Stadium,Pune,India
Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
Malahide,Dublin,Ireland
Mangaung Oval,Bloemfontein,South Africa
Mannofield Park,Aberdeen,Scotland
Manuka Oval,Canberra,Australia
Maple Leaf North-West Ground,King City,Canada
Marrara Cricket Ground,Darwin,Australia
McLean Park,Napier,New Zealand
Melbourne Cricket Ground,Melbourne,Australia
Mission Road Ground,Hong Kong,Hong Kong
Mombasa Sports Club Ground,Mombasa,Kenya
Moosa Cricket Stadium,Pearland,USA
Mulpani Cricket Ground,Kathmandu,Nepal
Multan Cricket Stadium,Multan,Pakistan
Nahar Singh Stadium,Faridabad,India
Narayanganj Osmani Stadium,Narayanganj,Bangladesh
Narendra Modi Stadium,Ahmedabad,India
National Cricket Stadium,St George's,Grenada
National Stadium,Karachi,Pakistan
Nehru Stadium,Guwahati,India
New Wanderers Stadium,Johannesburg,South Africa
Newlands,Cape Town,South Africa
Niaz Stadium,Hyderabad,Pakistan
Nondescripts Cricket Club Ground,Colombo,Sri Lanka
North Marine Road Ground,Scarborough,England
North Sydney Oval,Sydney,Australia
North West Cricket Stadium,Potchefstroom,South Africa
North-West University No1 Ground,Potchefstroom,South Africa
Observatory Lane,Rathmines,Ireland
Old Hararians,Harare,Zimbabwe
Old Trafford,Manchester,England
OUTsurance Oval,Bloemfontein,South Africa
P Sara Oval,Colombo,Sri Lanka
P Saravanamuttu Stadium,Colombo,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Perth Stadium,Perth,Australia
Peter Burge Oval,Brisbane,Australia
Providence Stadium,Georgetown,Guyana
Punjab Cricket Association IS Bindra Stadium,Mohali,India
Punjab Cricket Association Stadium,Mohali,India
Queen's Park (New),Port of Spain,Trinidad and Tobago
Queen's Park Oval,Port of Spain,Trinidad and Tobago
Queens Sports Club,Bulawayo,Zimbabwe
Queenstown Events Centre,Queenstown,New Zealand
R Premadasa Stadium,Colombo,Sri Lanka
R.Premadasa Stadium,Colombo,Sri Lanka
Rajiv Gandhi International Stadium,Hyderabad,India
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
Ray Mitchell Oval,Harrup Park,Australia
Reliance Stadium,Vadodara,India
Riverside Ground,Chester-le-Street,England
Riverway Stadium,Townsville,Australia
Royal Chiangmai Golf Club,Chiang Mai,Thailand
Ruaraka Sports Club Ground,Nairobi,Kenya
Sabina Park,Kingston,Jamaica
Sardar Patel (Gujarat) Stadium,Ahmedabad,India
Sardar Patel Stadium,Ahmedabad,India
Saurashtra Cricket Association Stadium,Rajkot,India
Sawai Mansingh Stadium,Jaipur,India
Saxton Oval,Nelson,New Zealand
Sector 16 Stadium,Chandigarh,India
Seddon Park,Hamilton,New Zealand
Sedgars Park,Potchefstroom,South Africa
Senwes Park,Potchefstroom,South Africa
Shaheed Chandu Stadium,Bogra,Bangladesh
Shaheed Veer Narayan Singh International Stadium,Raipur,India
Sharjah Cricket Association Stadium,Sharjah,UAE
Sharjah Cricket Stadium,Sharjah,UAE
Sheikh Abu Naser Stadium,Khulna,Bangladesh
Sheikh Kamal International Cricket Stadium,Cox's Bazar,Bangladesh
Sheikh Zayed Stadium,Abu Dhabi,UAE
Sheikhupura Stadium,Sheikhupura,Pakistan
Shere Bangla National Stadium,Dhaka,Bangladesh
Sher-e-Bangla National Cricket Stadium,Dhaka,Bangladesh
Sinhalese Sports Club,Colombo,Sri Lanka
Sinhalese Sports Club Ground,Colombo,Sri Lanka
Sinovich Park,Pretoria,South Africa
Sir Paul Getty's Ground,Wormsley,England
Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda
Sophia Gardens,Cardiff,Wales
Southend Club Cricket Stadium,Karachi,Pakistan
Sportpark Het Schootsveld,Deventer,Netherlands
Sportpark Maarschalkerweerd,Utrecht,Netherlands
Sportpark Westvliet,The Hague,Netherlands
St George's Park,Gqeberha,South Africa
St Lawrence Ground,Canterbury,England
Stellenbosch University 1,Stellenbosch,South Africa
Stellenbosch University 2,Stellenbosch,South Africa
Sunrise Sports Club,Harare,Zimbabwe
SuperSport Park,Centurion,South Africa
Sydney Cricket Ground,Sydney,Australia
Sylhet International Cricket Stadium,Sylhet,Bangladesh
Takashinga Sports Club,Harare,Zimbabwe
Terdthai Cricket Ground,Bangkok,Thailand
The Cooper Associates County Ground,Taunton,England
The Hills Cricket Club Ground,Dublin,Ireland
The Rose Bowl,Southampton,England
The Royal & Sun Alliance County Ground,Bristol,England
The Village,Malahide,Ireland
The Vineyard,Dublin,Ireland
The Wanderers Stadium,Johannesburg,South Africa
Titwood,Glasgow,Scotland
Tony Ireland Stadium,Townsville,Australia
Toronto Cricket,Toronto,Canada
Trent Bridge,Nottingham,England
Tribhuvan University International Cricket Ground,Kathmandu,Nepal
United Cricket Club Ground,Windhoek,Namibia
University Oval,Dunedin,New Zealand
Vidarbha C.A. Ground,Nagpur,India
Vidarbha Cricket Association Ground,Nagpur,India
Vidarbha Cricket Association Stadium,Nagpur,India
VRA Cricket Ground,Amstelveen,Netherlands
VRA Ground,Amstelveen,Netherlands
W.A.C.A. Ground,Perth,Australia
Wanderers Cricket Ground,Windhoek,Namibia
Wankhede Stadium,Mumbai,India
Warner Park,Basseterre,Saint Kitts and Nevis
Welagedara Stadium,Kurunegala,Sri Lanka
Western Australia Cricket Association Ground,Perth,Australia
Westpac Park,Hamilton,New Zealand
Westpac Stadium,Wellington,New Zealand
Willowmoore Park,Benoni,South Africa
Windsor Park,Roseau,Dominica
YMCA Cricket Club,Dublin,Ireland
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
Zayed Cricket Stadium,Abu Dhabi,UAE
Zohur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
